song,path_to_wav,artist,artist_genre,genre
"suite bergamasque, l. 75: iii. clair de lune","./audio_data/classical_mp3/suite bergamasque, l. 75 iii. clair de lune.mp3",Claude Debussy,classicalimpressionismpost-romantic era,classical
"the carnival of the animals, r. 125: xiii. the swan (arr. for cello and piano)","./audio_data/classical_mp3/the carnival of the animals, r. 125 xiii. the swan (arr. for cello and piano).mp3",Camille Saint-Saëns,classicalfrench romanticismlate romantic era,classical
fracture,./audio_data/classical_mp3/fracture.mp3,Stephan Moccio,background pianoneo-classical,classical
"kinderszenen, op. 15: träumerei (arr. lewin for guitar)","./audio_data/classical_mp3/kinderszenen, op. 15 träumerei (arr. lewin for guitar).mp3",Robert Schumann,classicalearly romantic eragerman romanticism,classical
3 spirituals for orchestra: no. 2. kum bab yah,./audio_data/classical_mp3/3 spirituals for orchestra no. 2. kum bab yah.mp3,Adolphus Hailstork,african-american classicalamerican contemporary classical,classical
the arts and the hours,./audio_data/classical_mp3/the arts and the hours.mp3,Jean-Philippe Rameau,baroqueclassicalearly musicfrench baroquefrench opera,classical
notturno for strings and harp,./audio_data/classical_mp3/notturno for strings and harp.mp3,Arnold Schoenberg,austro-german modernismavant-gardeclassicalearly modern classicalpost-romantic eraserialism,classical
natural light,./audio_data/classical_mp3/natural light.mp3,Ludovico Einaudi,bow popcompositional ambientneo-classical,classical
"après un rêve, op.7, no.1 (arr. cello & piano)","./audio_data/classical_mp3/après un rêve, op.7, no.1 (arr. cello & piano).mp3",Gabriel Fauré,classicalpost-romantic era,classical
bruyères - home session,./audio_data/classical_mp3/bruyères - home session.mp3,Claude Debussy,classicalimpressionismpost-romantic era,classical
henry v: henry v: touch her soft lips and part,./audio_data/classical_mp3/henry v henry v touch her soft lips and part.mp3,William Walton,british modern classicalclassicalearly modern classical,classical
losar,./audio_data/classical_mp3/losar.mp3,Joep Beving,compositional ambientneo-classical,classical
"by the still waters, op. 114","./audio_data/classical_mp3/by the still waters, op. 114.mp3",Amy Beach,american romanticismpost-romantic era,classical
"rêverie, l. 68: rêverie","./audio_data/classical_mp3/rêverie, l. 68 rêverie.mp3",Claude Debussy,classicalimpressionismpost-romantic era,classical
"dolly, op. 56: 1. berceuse","./audio_data/classical_mp3/dolly, op. 56 1. berceuse.mp3",Gabriel Fauré,classicalpost-romantic era,classical
"2 aquarelles: lento, ma non troppo","./audio_data/classical_mp3/2 aquarelles lento, ma non troppo.mp3",Frederick Delius,classicalearly modern classicalimpressionismpost-romantic era,classical
frühlingsglaube (arr. franz liszt),./audio_data/classical_mp3/frühlingsglaube (arr. franz liszt).mp3,Franz Schubert,classicalclassical eraearly romantic era,classical
ii. floating leaf,./audio_data/classical_mp3/ii. floating leaf.mp3,Konstantia Gourzi,greek contemporary classical,classical
"carnaval, op. 9: no. 5. eusebius (adagio - più lento molto teneramente)","./audio_data/classical_mp3/carnaval, op. 9 no. 5. eusebius (adagio - più lento molto teneramente).mp3",Robert Schumann,classicalearly romantic eragerman romanticism,classical
"scriabin: 24 preludes, op. 11: no. 21 in b flat major","./audio_data/classical_mp3/scriabin 24 preludes, op. 11 no. 21 in b flat major.mp3",Alexander Scriabin,early modern classicalimpressionismlate romantic erarussian romanticism,classical
"sechs klavierstücke, op. 118: ii. intermezzo in a major","./audio_data/classical_mp3/sechs klavierstücke, op. 118 ii. intermezzo in a major.mp3",Johannes Brahms,classicalgerman romanticismlate romantic era,classical
